"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ"
-1,15,7016,1.1,5.8,6.9,1.5,3,0,5433,12.5,3.2,16,6.9,0,1.2
-1,20,5531,4.7,9.1,9.3,3.8,7.3,22,4117,10.8,4.8,24,9.7,43,3
-1,25,4046,8.3,12.4,11.7,6.1,11.6,58,2801,9.1,6.4,32,12.5,120,4.8
-1,30,2561,11.9,15.7,14.1,8.4,15.9,94,1485,7.4,8,40,15.3,197,6.6
-1,35,1761,15.1,18.8,16.4,10.9,20.1,133,800,6.4,10.1,47,17.2,283,8.1
-1,40,1214,18.1,21.5,18.4,13.9,24.4,174,548,5.8,11.6,51,18.4,375,9.4
-1,45,895,20.8,24,20.1,16.9,28.7,215,319,5.3,14.5,55,19.1,471,10.5
-1,50,697,23.2,26.2,21.5,19.8,33,255,198,4.9,17.8,57,19.5,568,11.4
-1,55,565,25.3,28.3,22.8,22.7,37.2,295,132,4.6,21,59,19.7,666,12.1
-1,60,470,27.3,30.1,23.9,25.5,41.4,334,94,4.3,24.1,60,19.7,765,12.7
-1,65,399,29.2,31.8,25,28.3,45.5,371,71,4,26.8,60,19.6,863,13.3
-1,70,342,30.8,33.4,26,31.1,49.5,408,57,3.8,29.4,61,19.4,960,13.7
-1,75,296,32.4,34.8,26.9,34,53.5,443,46,3.6,31.6,61,19.1,1055,14.1
-1,80,257,33.8,36.1,27.7,37,57.4,477,39,3.5,33.7,60,18.8,1149,14.4
-1,85,224,35.1,37.3,28.5,40.2,61.2,509,33,3.3,35.7,60,18.5,1242,14.6
-1,90,196,36.3,38.5,29.3,43.6,64.9,541,28,3.2,37.8,59,18.2,1333,14.8
-1,95,172,37.4,39.5,29.9,47,68.5,572,24,3,40.1,59,17.9,1422,15
-1,100,152,38.5,40.5,30.6,50.7,72,601,21,2.9,42.4,58,17.5,1510,15.1
-1,105,134,39.5,41.4,31.1,54.4,75.5,629,18,2.8,44.6,57,17.2,1596,15.2
-1,110,118,40.4,42.3,31.7,58.4,78.8,657,16,2.7,47,57,16.8,1680,15.3
-1,115,105,41.2,43.1,32.2,62.6,82.1,684,14,2.6,49.5,56,16.5,1763,15.3
-1,120,92,42,43.9,32.7,66.8,85.4,711,12,2.5,52,55,16.2,1846,15.3
-1,125,79,42.8,44.7,33.2,71,88.7,738,10,2.4,54.5,54,15.9,1929,15.3
-1,130,66,43.6,45.5,33.7,75.2,92,765,8,2.3,57,53,15.6,2012,15.3
-1,135,53,44.4,46.3,34.2,79.4,95.3,792,6,2.2,59.5,52,15.3,2095,15.3
-1,140,40,45.2,47.1,34.7,83.6,98.6,819,4,2.1,62,51,15,2178,15.3
-1,145,27,46,47.9,35.2,87.8,101.9,846,2,2,64.5,50,14.7,2261,15.3
-1,150,14,46.8,48.7,35.7,92,105.2,873,0,1.9,67,49,14.4,2344,15.3
-1,155,1,47.6,49.5,36.2,96.2,108.5,900,0,1.8,69.5,48,14.1,2427,15.3
-1,160,NA,48.4,50.3,36.7,100.4,111.8,927,0,1.7,72,47,13.8,2510,15.3
-1,165,NA,49.2,51.1,37.2,104.6,115.1,954,0,1.6,74.5,46,13.5,2593,15.3
-1,170,NA,50,51.9,37.7,108.8,118.4,981,0,1.5,77,45,13.2,2676,15.3
-1,175,NA,50.8,52.7,38.2,113,121.7,1008,0,1.4,79.5,44,12.9,2759,15.3
-1,180,NA,51.6,53.5,38.7,117.2,125,1035,0,1.3,82,43,12.6,2842,15.3
0,20,5599,3.1,7.3,7.9,2.1,4.1,0,3615,9.4,3.8,17,7,0,1.2
0,25,4466,6.2,10.1,10.2,4.5,7.8,26,2788,8.3,5.3,23,9.1,54,2.6
0,30,3333,9.3,12.9,12.5,6.9,11.5,57,1961,7.2,6.8,29,11.2,121,4
0,35,2200,12.4,15.7,14.8,9.3,15.2,88,1134,6.1,8.3,35,13.3,188,5.4
0,40,1535,15.1,18.3,16.8,11.8,18.9,123,665,5.4,10.2,39,14.7,261,6.5
0,45,1111,17.7,20.7,18.5,14.6,22.7,158,424,4.9,12.2,43,15.6,339,7.5
0,50,850,20,22.8,19.9,17.3,26.5,194,261,4.6,15,45,16.2,421,8.4
0,55,679,22.1,24.8,21.2,19.9,30.3,230,171,4.3,17.9,47,16.6,504,9.2
0,60,560,24,26.6,22.3,22.5,34,265,119,4,20.7,49,16.8,587,9.8
0,65,472,25.7,28.2,23.4,25.1,37.7,300,87,3.8,23.6,50,16.8,672,10.3
0,70,405,27.3,29.7,24.4,27.7,41.4,333,67,3.6,26.2,50,16.8,756,10.8
0,75,352,28.8,31.1,25.3,30.3,45,366,54,3.5,28.7,51,16.7,839,11.2
0,80,307,30.1,32.3,26.1,32.9,48.5,398,44,3.3,30.9,51,16.5,922,11.5
0,85,270,31.4,33.5,26.9,35.6,52,428,37,3.2,32.9,51,16.4,1004,11.8
0,90,239,32.6,34.6,27.7,38.4,55.3,458,32,3,35,51,16.1,1084,12
0,95,212,33.6,35.6,28.3,41.3,58.6,487,27,2.9,37.1,51,15.9,1164,12.3
0,100,188,34.6,36.5,29,44.3,61.8,515,23,2.8,39.3,51,15.7,1242,12.4
0,105,168,35.6,37.4,29.5,47.3,64.9,541,20,2.7,41.5,50,15.4,1319,12.6
0,110,151,36.4,38.2,30.1,50.4,67.9,567,18,2.6,43.7,50,15.1,1395,12.7
0,115,135,37.2,38.9,30.6,53.7,70.9,593,15,2.6,46,49,14.9,1469,12.8
0,120,122,38,39.6,31.1,57,73.7,617,13,2.5,48.5,49,14.6,1542,12.9
0,125,110,38.7,40.3,31.5,60.3,76.5,640,12,2.4,50.9,48,14.4,1614,12.9
0,130,98,39.4,41,31.9,63.6,79.3,663,11,2.3,53.3,47,14.2,1686,12.9
0,135,86,40.1,41.7,32.3,66.9,82.1,686,10,2.2,55.7,46,14,1758,12.9
