"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ"
-1,10,1658,6.8,8.5,13.4,6.1,6.5,0,0,0,0,0,7.9,0,1.7
-1,15,1091,12,13.7,20.2,13.5,13.2,79,0,0,0,0,17,98,6.6
-1,20,524,17.2,18.9,27,20.9,19.9,188,567,2.8,7.7,20,26.1,230,11.5
-1,25,275,21.5,23.6,33.2,29.6,26.6,306,249,4.4,13.4,40,31.3,386,15.5
-1,30,266,25.6,27.7,38.5,35.7,33.2,417,7,5.4,26.7,57,33.8,554,18.5
-1,35,269,28.8,31.1,42.8,40,39.6,517,0,6.1,41.1,71,34.8,727,20.9
-1,40,272,31.9,34.2,46.7,43.1,45.8,610,0,6.4,57.4,83,34.8,903,22.6
-1,45,262,34.6,36.9,49.7,46,51.9,692,10,6.5,63.3,89,34.4,1075,23.9
-1,50,241,36.9,39.5,52.5,49.3,57.9,768,23,6.3,57.7,93,33.8,1245,24.9
-1,55,210,39.1,41.7,54.6,52.9,63.7,835,28,6.2,51.7,96,32.8,1409,25.5
-1,60,181,41,43.7,56.7,57.1,69.2,897,29,6,50.7,97,31.9,1567,26.1
-1,65,155,42.8,45.5,58.2,61.5,74.6,955,26,5.7,53.5,98,30.9,1723,26.4
-1,70,135,44.6,47.2,59.8,65.8,79.9,1006,21,5.5,57.8,98,29.8,1872,26.7
-1,75,118,46.1,48.7,61,70,85,1053,16,5.3,62.5,96,28.9,2016,26.8
-1,80,106,47.5,50.2,61.8,74,90,1098,12,5.1,67,95,27.7,2154,27
-1,85,96,48.8,51.5,62.7,77.9,94.9,1137,10,5,71.4,94,26.8,2289,26.9
-1,90,85,50,52.7,63.3,81.7,99.4,1175,8,4.8,74.3,93,25.9,2419,26.8
-1,95,78,51.1,53.9,64,86.1,103.9,1211,9,4.5,74.5,90,25.1,2545,26.8
-1,100,70,52.2,55.2,64.4,90.1,108.5,1249,10,4.3,75.1,87,24.3,2673,26.8
-1,105,61,53.4,56.6,64.6,93.8,113.2,1288,11,4,75.3,84,23.5,2805,26.8
-1,110,51,54.6,58,64.7,97.2,117.9,1329,12,3.8,74.9,81,22.7,2939,26.8
-1,115,40,55.9,59.4,64.8,100.3,122.7,1372,13,3.5,74.4,79,21.8,3077,26.9
-1,120,29,57.2,60.8,64.9,103.4,127.5,1415,14,3.2,73.9,77,20.9,3215,27
-1,125,18,58.5,62.2,65,106.5,132.3,1458,15,2.9,73.4,75,20,3353,27.1
-1,130,7,59.8,63.6,65.1,109.6,137.1,1501,16,2.6,72.9,73,19.1,3491,27.2
-1,135,NA,61.1,65,65.2,112.7,141.9,1544,17,2.3,72.4,71,18.2,3629,27.3
-1,140,NA,62.4,66.4,65.3,115.8,146.7,1587,18,2,71.9,69,17.3,3767,27.4
-1,145,NA,63.7,67.8,65.4,118.9,151.5,1630,19,1.7,71.4,67,16.4,3905,27.5
-1,150,NA,65,69.2,65.5,122,156.3,1673,20,1.4,70.9,65,15.5,4043,27.6
-1,155,NA,66.3,70.6,65.6,125.1,161.1,1716,21,1.1,70.4,63,14.6,4181,27.7
-1,160,NA,67.6,72,65.7,128.2,165.9,1759,22,0.8,69.9,61,13.7,4319,27.8
0,10,2561,4.6,6.1,9.4,4.7,5.8,0,0,0,0,0,3.4,0,0.4
0,15,1815,9.4,11,16.1,10.6,11.9,55,0,0,0,0,12.1,67,4.5
0,20,1069,14.2,15.9,22.8,16.5,18,143,746,2.3,6.3,15,20.8,172,8.6
0,25,674,18.4,20.3,29,23.4,24,242,395,3.9,11.2,32,26.1,302,12.1
0,30,517,22.2,24.2,34.3,29,29.9,338,156,5,20.3,48,28.9,446,14.9
0,35,442,25.4,27.5,38.7,33.4,35.7,427,75,5.7,31,61,30.2,597,17.1
0,40,401,28.3,30.5,42.5,36.7,41.3,510,41,6,43.2,71,30.6,751,18.8
0,45,371,30.9,33.1,45.6,39.6,46.8,585,30,6.1,50.7,77,30.5,903,20.1
0,50,343,33.1,35.5,48.3,42.4,52.2,654,29,6,51.7,81,30.1,1054,21.1
0,55,313,35.2,37.6,50.5,45.3,57.5,717,29,5.9,50.4,84,29.4,1201,21.8
0,60,284,37,39.5,52.5,48.5,62.6,775,29,5.7,49.9,85,28.7,1344,22.4
0,65,257,38.7,41.2,54.1,51.8,67.6,829,27,5.5,51.1,86,27.9,1484,22.8
0,70,233,40.3,42.8,55.6,55.1,72.5,878,24,5.3,53.3,86,27,1619,23.1
0,75,212,41.7,44.2,56.8,58.4,77.3,923,21,5.1,55.9,85,26.2,1750,23.3
0,80,194,43,45.6,57.7,61.6,82,966,18,4.9,58.7,84,25.3,1876,23.5
0,85,178,44.2,46.8,58.5,64.7,86.6,1005,16,4.8,61.7,83,24.5,1999,23.5
0,90,163,45.3,47.9,59.1,67.8,91,1042,14,4.6,63.8,82,23.7,2118,23.5
0,95,150,46.3,49,59.8,71.3,95.4,1077,14,4.4,64.1,80,23,2233,23.5
0,100,137,47.3,50.1,60.5,74.8,99.8,1112,14,4.2,64.4,78,22.3,2348,23.5
0,105,124,48.3,51.2,61.2,78.3,104.2,1147,14,4,64.7,76,21.6,2463,23.5
0,110,111,49.3,52.3,61.9,81.8,108.6,1182,14,3.8,65,74,20.9,2578,23.5
0,115,98,50.3,53.4,62.6,85.3,113,1217,14,3.6,65.3,72,20.2,2693,23.5
0,120,85,51.3,54.5,63.3,88.8,117.4,1252,14,3.4,65.6,70,19.5,2808,23.5
0,125,72,52.3,55.6,64,92.3,121.8,1287,14,3.2,65.9,68,18.8,2923,23.5
0,130,59,53.3,56.7,64.7,95.8,126.2,1322,14,3,66.2,66,18.1,3038,23.5
0,135,46,54.3,57.8,65.4,99.3,130.6,1357,14,2.8,66.5,64,17.4,3153,23.5
0,140,33,55.3,58.9,66.1,102.8,135,1392,14,2.6,66.8,62,16.7,3268,23.5
0,145,20,56.3,60,66.8,106.3,139.4,1427,14,2.4,67.1,60,16,3383,23.5
0,150,7,57.3,61.1,67.5,109.8,143.8,1462,14,2.2,67.4,58,15.3,3498,23.5
0,155,NA,58.3,62.2,68.2,113.3,148.2,1497,14,2,67.7,56,14.6,3613,23.5
0,160,NA,59.3,63.3,68.9,116.8,152.6,1532,14,1.8,68,54,13.9,3728,23.5
1,10,3464,2.4,3.7,5.4,3.3,5.1,0,0,0,0,0,0,0,0
1,15,2539,6.8,8.3,12,7.7,10.6,31,0,0,0,0,7.2,36,2.4
1,20,1614,11.2,12.9,18.6,12.1,16.1,98,925,1.8,4.9,10,15.5,114,5.7
1,25,1073,15.3,17,24.8,17.2,21.4,178,541,3.4,9,24,20.9,218,8.7
1,30,768,18.8,20.7,30.1,22.3,26.6,259,305,4.6,13.9,39,24,338,11.3
1,35,615,22,23.9,34.6,26.8,31.8,337,154,5.3,20.9,51,25.6,467,13.3
1,40,530,24.7,26.8,38.3,30.3,36.8,410,85,5.6,29,59,26.4,599,15
1,45,480,27.2,29.3,41.5,33.2,41.7,478,50,5.7,38.1,65,26.6,731,16.3
1,50,445,29.3,31.5,44.1,35.5,46.5,540,35,5.7,45.7,69,26.4,863,17.3
