"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ"
-1,10,2446,4.9,5.8,12.5,2.6,7.6,8,2337,5.9,1,13,14,0,5
-1,15,1909,8.8,9.7,17.1,8.4,12.7,76,1737,5.8,4.5,23,16.7,85,7.4
-1,20,1372,12.7,13.6,21.7,14.2,17.8,144,1137,5.7,8,33,19.4,195,9.8
-1,25,835,16.6,17.5,26.3,20,22.9,212,537,5.6,11.5,43,22.1,305,12.2
-1,30,629,20.2,21.1,30.6,24.9,27.7,280,206,5.2,18,48,23.3,422,14.1
-1,35,568,23.4,24.3,34.4,27.8,32.2,349,61,4.9,32,50,23.8,541,15.5
-1,40,524,26.2,27.1,37.7,30.3,36.4,417,44,4.5,36.1,51,23.7,660,16.5
-1,45,471,28.6,29.6,40.5,33.1,40.2,482,52,4.2,32,51,23.4,777,17.3
-1,50,423,30.7,31.8,43,36,43.9,546,48,3.9,32.2,51,22.9,891,17.8
-1,55,387,32.6,33.7,45.3,38.6,47.2,607,35,3.7,36.4,50,22.3,1003,18.2
-1,60,363,34.3,35.3,47.6,40.8,50.4,666,24,3.4,42.6,50,21.7,1111,18.5
-1,65,346,35.7,36.8,49.8,42.8,53.4,722,18,3.2,48.5,49,21.1,1217,18.7
-1,70,332,36.9,38,51.9,44.7,56.1,775,14,3.1,52.9,49,20.4,1319,18.8
-1,75,320,38,39.1,53.8,46.3,58.7,827,12,2.9,56.8,48,19.8,1418,18.9
-1,80,308,39.1,40.2,55.7,47.9,61.3,879,10,2.7,60.7,47,19.2,1517,19
-1,85,296,40.2,41.3,57.6,49.5,63.9,931,8,2.5,64.6,46,18.6,1616,19.1
-1,90,284,41.3,42.4,59.5,51.1,66.5,983,6,2.3,68.5,45,18,1715,19.2
-1,95,272,42.4,43.5,61.4,52.7,69.1,1035,4,2.1,72.4,44,17.4,1814,19.3
-1,100,260,43.5,44.6,63.3,54.3,71.7,1087,2,1.9,76.3,43,16.8,1913,19.4
-1,105,248,44.6,45.7,65.2,55.9,74.3,1139,0,1.7,80.2,42,16.2,2012,19.5
-1,110,236,45.7,46.8,67.1,57.5,76.9,1191,0,1.5,84.1,41,15.6,2111,19.6
-1,115,224,46.8,47.9,69,59.1,79.5,1243,0,1.3,88,40,15,2210,19.7
-1,120,212,47.9,49,70.9,60.7,82.1,1295,0,1.1,91.9,39,14.4,2309,19.8
-1,125,200,49,50.1,72.8,62.3,84.7,1347,0,0.9,95.8,38,13.8,2408,19.9
-1,130,188,50.1,51.2,74.7,63.9,87.3,1399,0,0.7,99.7,37,13.2,2507,20
-1,135,176,51.2,52.3,76.6,65.5,89.9,1451,0,0.5,103.6,36,12.6,2606,20.1
-1,140,164,52.3,53.4,78.5,67.1,92.5,1503,0,0.3,107.5,35,12,2705,20.2
-1,145,152,53.4,54.5,80.4,68.7,95.1,1555,0,0.1,111.4,34,11.4,2804,20.3
-1,150,140,54.5,55.6,82.3,70.3,97.7,1607,0,0,115.3,33,10.8,2903,20.4
-1,155,128,55.6,56.7,84.2,71.9,100.3,1659,0,0,119.2,32,10.2,3002,20.5
-1,160,116,56.7,57.8,86.1,73.5,102.9,1711,0,0,123.1,31,9.6,3101,20.6
0,10,3825,2.8,3.7,7.8,1.1,5,0,2698,5.7,2.5,7,8.1,0,1.5
0,15,2993,6.3,7.2,12.3,5.5,9.7,30,2076,5.6,4.7,16,11.3,32,3.8
0,20,2161,9.8,10.7,16.8,9.9,14.4,85,1454,5.5,6.9,25,14.5,121,6.1
0,25,1329,13.3,14.2,21.3,14.3,19.1,140,832,5.4,9.1,34,17.7,210,8.4
0,30,900,16.5,17.4,25.6,19,23.6,199,429,5,12.2,38,19.4,306,10.2
0,35,708,19.5,20.4,29.5,23,27.7,259,192,4.6,17.4,41,20.2,407,11.6
0,40,641,22.1,23.1,32.8,25.5,31.6,319,67,4.2,28.4,42,20.5,510,12.7
0,45,604,24.5,25.4,35.6,27.4,35.2,379,37,4,37,42,20.4,612,13.6
0,50,564,26.6,27.6,38.1,29.3,38.6,437,39,3.7,34.8,43,20.2,713,14.3
0,55,519,28.4,29.4,40.4,31.5,41.7,494,46,3.6,31.5,43,19.9,812,14.8
0,60,473,30,31.1,42.6,33.9,44.6,548,45,3.4,31,43,19.4,909,15.2
0,65,434,31.5,32.5,44.9,36.3,47.3,599,39,3.3,32.7,43,19,1004,15.4
0,70,404,32.8,33.8,47,38.5,49.9,649,31,3.1,36.1,43,18.5,1096,15.7
0,75,381,33.9,34.9,48.9,40.4,52.3,695,23,3,40.9,43,18,1186,15.8
0,80,363,34.9,36,50.4,42,54.5,740,17,2.9,46.3,43,17.5,1274,15.9
0,85,349,35.8,36.9,51.7,43.4,56.6,781,14,2.8,50.4,43,17,1359,16
0,90,336,36.6,37.7,52.9,44.7,58.6,821,13,2.8,52.1,43,16.5,1441,16
0,95,324,37.3,38.4,54.1,46.1,60.4,858,13,2.7,52.3,43,16.1,1522,16
0,100,312,38,39.1,55.3,47.5,62.2,895,13,2.6,52.5,43,15.7,1603,16
0,105,300,38.7,39.8,56.5,48.9,64,932,13,2.5,52.7,43,15.3,1684,16
0,110,288,39.4,40.5,57.7,50.3,65.8,969,13,2.4,52.9,43,14.9,1765,16
0,115,276,40.1,41.2,58.9,51.7,67.6,1006,13,2.3,53.1,43,14.5,1846,16
0,120,264,40.8,41.9,60.1,53.1,69.4,1043,13,2.2,53.3,43,14.1,1927,16
0,125,252,41.5,42.6,61.3,54.5,71.2,1080,13,2.1,53.5,43,13.7,2008,16
0,130,240,42.2,43.3,62.5,55.9,73,1117,13,2,53.7,43,13.3,2089,16
0,135,228,42.9,44,63.7,57.3,74.8,1154,13,1.9,53.9,43,12.9,2170,16
